vendorKey,company,website,domain,primaryType,genericEmails,allEmails,phoneNumbers,linkedinUrls,contactPageUrls,titleSnippets,confidence,pagesScannedCount,bestFor,recommendedRole
legal:1:CLEMENS Advokatpartnerselskab,CLEMENS Advokatpartnerselskab,https://clemenslaw.dk,clemenslaw.dk,Legal,info@clemenslaw.com,info@clemenslaw.com | anh@clemenslaw.com | mpj@clemenslaw.com | mbm@clemenslaw.com | thn@clemenslaw.com | csb@clemenslaw.com | mka@clemenslaw.com | ssi@clemenslaw.com | mbh@clemenslaw.com | grb@clemenslaw.com | meh@clemenslaw.com | lwo@clemenslaw.com | csy@clemenslaw.com | mdr@clemenslaw.com | gmi@clemenslaw.com | boc@clemenslaw.com | mba@clemenslaw.com | ald@clemenslaw.com | cag@clemenslaw.com | tha@clemenslaw.com | bss@clemenslaw.com | cm@clemenslaw.com | ssp@clemenslaw.com | rmn@clemenslaw.com | esh@clemenslaw.com | slm@clemenslaw.com | dve@clemenslaw.com | akw@clemenslaw.com | ml@clemenslaw.com | kn@clemenslaw.com | agr@clemenslaw.com | beo@clemenslaw.com | lel@clemenslaw.com | mumm@clemenslaw.com | ljs@clemenslaw.com | jjc@clemenslaw.com | csf@clemenslaw.com | jpu@clemenslaw.com | neve@clemenslaw.com | cru@clemenslaw.com | che@clemenslaw.com | phe@clemenslaw.com | ras@clemenslaw.com | dhm@clemenslaw.com | kek@clemenslaw.com | mat@clemenslaw.com | mnh@clemenslaw.com | dbl@clemenslaw.com | nth@clemenslaw.com | bpr@clemenslaw.com | shw@clemenslaw.com | git@clemenslaw.com | slk@clemenslaw.com | san@clemenslaw.com | aah@clemenslaw.com | securemail@clemenslaw.com,+45 87 32 12 50 | +45 87321251 | +45 22371243 | +45 21896584 | +45 23666201 | +45 25561222 | +45 29816488 | +45 41537006 | +45 87321270 | +45 22671250 | +45 87321276 | 45 27114350 | +45 21191250 | +45 22811263 | +45 87321271 | +45 30904656 | +45 21899210 | +45 20292904 | +45 41537012 | +45 87321241 | 45 28255997 | +45 87321244 | +45 87321237 | +45 20429333 | +45 41661699 | +45 26111730 | +45 87321229 | +45 21942575 | +45 20744800 | +45 20254014 | +45 25211246 | +45 87321268 | +45 20435313 | +45 20156468 | +45 87321274 | +45 87321266 | +45 30475129 | +45 41537004 | +45 50744173 | +45 50742477 | +45 87321261 | +45 30451250 | +45 30559249 | +45 40641283 | +45 41537005 | +45 87321234 | +45 40577882 | +45 40228714 | +45 30476151 | +45 87321236 | 45 24251353 | +45 87321284 | +45 61421762 | +45 22427503 | +45 87321264 | +4587321250 | +4587321251 | +4522371243 | +4521896584 | +4523666201 | +4525561222 | +4529816488 | +4541537006 | +4587321270 | +4522671250 | +4587321276 | +4527114350 | +4521191250 | +4522811263 | +4587321271 | +4530904656 | +4521899210 | +4520292904 | +4541537012 | +4587321241 | +4528255997 | +4587321244 | +4587321237 | +4520429333 | +4541661699 | +4526111730 | +4587321229 | +4521942575 | +4520744800 | +4520254014 | +4525211246 | +4587321268 | +4520435313 | +4520156468 | +4587321274 | +4587321266 | +4530475129 | +4541537004 | +4550744173 | +4550742477 | +4587321261 | +4530451250 | +4530559249 | +4540641283 | +4541537005 | +4587321234 | +4540577882 | +4540228714 | +4530476151 | +4587321236 | +4524251353 | +4587321284 | +4561421762 | +4522427503 | +4587321264,https://www.linkedin.com/company/clemens-advokatfirma,,,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:2:ComplianceLaw,ComplianceLaw,https://www.compliancelaw.dk,compliancelaw.dk,Legal,,fsk@compliancelaw.dk,+45 27878503 | +4527878503,https://www.linkedin.com/company/advokatfirmaet-compliancelaw/,,,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:3:Focus Advokater,Focus Advokater,https://focus-advokater.dk,focus-advokater.dk,Legal,,mail@focus-advokater.dk,+45 63 14 20 20 | +4563142020,https://www.linkedin.com/company/focus-advokater/,,,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:4:Horten,Horten,https://www.horten.dk,horten.dk,Legal,info@horten.dk,info@horten.dk,33 34 40 00 | 33 34 40 01 | +4533344000,,,,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, inklusive relaterede EU-regler som CER og CRA, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:5:Poul Schmith / Kammeradvokaten,Poul Schmith / Kammeradvokaten,https://poulschmith.dk,poulschmith.dk,Legal,,mail@poulschmith.dk,+45 33 15 20 10,https://www.linkedin.com/company/poul-schmith/,,,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav og erfaring fra offentlige eller stærkt regulerede miljøer, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:6:A&O Shearman,A&O Shearman,https://www.aoshearman.com,aoshearman.com,Legal,,mark.lanpher@aoshearman.com | emily.westridgeblack@aoshearman.com | billy.marsh@aoshearman.com | ken.rivlin@aoshearman.com | catherine.hein@aoshearman.com | kaleigh.ramsey@aoshearman.com | samantha.peppers@aoshearman.com | alex.shandro@aoshearman.com | anna.rudawski@aoshearman.com | nigel.parker@aoshearman.com | jill.ge@aoshearman.com | megan.mcmellon@aoshearman.com | millie.fantham@aoshearman.com,,https://uk.linkedin.com/company/aoshearman,,,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:7:Baker McKenzie,Baker McKenzie,https://www.bakermckenzie.com,bakermckenzie.com,Legal,,,,http://www.linkedin.com/company/baker-&-mckenzie?trk=cp_followed_name_baker-%26-mckenzie,,,low,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, samt databeskyttelse og informationsforvaltning, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:8:Hogan Lovells,Hogan Lovells,https://www.hoganlovells.com,hoganlovells.com,Legal,,,,,,,none,0,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, med fokus på kontrakter og leverandørforhold, samt databeskyttelse og informationsforvaltning, primært til mellemstore og større organisationer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:9:White & Case,White & Case,https://www.whitecase.com,whitecase.com,Legal,,,,,,,none,0,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:10:Norton Rose Fulbright,Norton Rose Fulbright,https://www.nortonrosefulbright.com,nortonrosefulbright.com,Legal,,,,http://www.linkedin.com/company/nortonrosefulbright,,,low,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, med fokus på kontrakter og leverandørforhold, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
